id,Job Title,,skills
480, BCOM (hiring for Top4) Internal Audit /compliance Call Vikas,, Mba Finance| Auditing| Internal Audit| SOX| Audit Compliance| Compliance
481, ETL Datastage Developer,, Technical Management| Agile Methodology| Unit Testing| Design Development| Business Analytics| Big Data| SQL Queries| Spark| Performance Tuning| Test Case Design
482, Technical Lead,, CSS| Html5| MySQL| Javascript| Bootstrap| JSON| Node.Js| JQuery| Core PHP| Ajax
483, Specialist - DV,, Javascript| SQL| Python| design studio| Strategy consulting| Front end| big data analytics| QlikView| MATLAB
484," Office Assistant, Office Boy",, Tea| Coffee| Office Assistance| admin| office assistant| computer operator
485, MES camster/apriso/hydra engineer,, Oracle database| server| VB.NET| technical| tools| sql| Sql Server 2008| database| design| MS.net| Application development| Test cases| net| deployment| Automation| development| c| oracle| testing| specification| vb| quality| application| PLSQL| pl| support| WIP
486, HR PMO Professional,, Change management| Excel| Customer satisfaction| Project management| Relationship building| HR policies| HR| Scheduling| Visio| Stakeholder management
487, Principal Consultant,, Business solutions| Project delivery| Conceptualization| Green field projects| Gap analysis| PDF| Regulatory compliance| account mining| Delivery Lead| Oracle Retail
488, Urgent Requirment For Central Processing Center- Mumbai,, Accounting Entries| Debit| Communication Skills| Finance| Document Verification| Banking| Problem Solving| Open Office| Dispute Management
489, Cognos TM1 Developer (4 6 years),, Sql Server 2008| Cognos| MVC| SIDE| server| java| asp.net| Javascript| Problem| developer| ASP.Net MVC| sql
490, Smart Web Developer,, JAVA| Java| Business Analysts| development| Architects| HTML| Lead Developers| SQL| XML| design| PHP| ios development| PL
491, Manager- Compensation and Benefits,,vide
492, Civil Architect,, Architect| Engineering Design| EPC| Civil
493, Reconciliation Executive,, access controls| Technology| Asset Management| Intellectual Property| Vendor Management| CRM
494, Oracle Sales Cloud Developer,, oracle sales
495, Opening For Sales and Marketing_nariman Point ,, Sales| Marketing
496, Finance & OPS - Technical Consultant (dynamics Ax/365) @ Bangalore,, microsoft dynamics ax| strategy implementation| proposal development| business development| resource planning| cost management| enterprise applications| data integrity| microsoft applications| process design| technical consultant
497, Business Development Manager-digital / Export,, digital marketing| international sales| international marketing| international business development| business development| Export Marketing
498, Sr. Software Engineer,, Unix| PDF| Deployment| Informatica| Oracle| Teradata| Troubleshooting| Data warehousing
499, Website Designer,, jQuery| Analytical| Wordpress| Conceptualization| Web designing| Photoshop| Business Executive| CSS3| Ideas
500, Tech caller hiring a huge number of Executives.,, Outbound| Night shift| Recruitment| iPhone| Email| US shift| Troubleshooting| Technical support| Comp| International BPO
